	Series	Seasonally adjusted	Trend	Seasonal	Irregular
2011-12-01	0,934	12,363	11,709	-11,429	0,654
2012-01-01	-1,254	10,476	11,643	-11,73	-1,167
2012-02-01	-0,369	9,473	11,584	-9,841	-2,111
2012-03-01	3,894	10,709	11,533	-6,815	-0,824
2012-04-01	10,922	12,881	11,487	-1,959	1,394
2012-05-01	14,915	11,677	11,444	3,238	0,233
2012-06-01	20,457	11,905	11,402	8,552	0,503
2012-07-01	24,683	12,298	11,362	12,385	0,936
2012-08-01	24,73	12,573	11,322	12,157	1,25
2012-09-01	17,986	10,464	11,284	7,521	-0,82
2012-10-01	12,771	10,736	11,251	2,035	-0,514
2012-11-01	5,968	10,114	11,223	-4,145	-1,109
2012-12-01	0,69	12,174	11,2	-11,484	0,975
2013-01-01	-0,021	11,641	11,18	-11,662	0,461
2013-02-01	3,446	13,165	11,16	-9,719	2,005
2013-03-01	4,762	11,529	11,14	-6,767	0,389
2013-04-01	6,675	8,714	11,123	-2,039	-2,409
2013-05-01	15,945	12,734	11,112	3,212	1,622
2013-06-01	20,39	11,876	11,103	8,515	0,772
2013-07-01	23,237	10,911	11,096	12,326	-0,185
2013-08-01	23,251	11,174	11,092	12,077	0,083
2013-09-01	18,842	11,263	11,091	7,58	0,172
2013-10-01	13,499	11,426	11,093	2,073	0,333
2013-11-01	5,241	9,294	11,099	-4,053	-1,806
2013-12-01	-1,237	10,347	11,112	-11,584	-0,766
2014-01-01	-0,027	11,574	11,132	-11,601	0,442
2014-02-01	1,985	11,678	11,154	-9,693	0,524
2014-03-01	4,441	11,164	11,178	-6,724	-0,014
2014-04-01	9,525	11,499	11,206	-1,974	0,293
2014-05-01	12,765	9,661	11,238	3,105	-1,577
2014-06-01	18,405	9,963	11,276	8,442	-1,313
2014-07-01	24,529	12,259	11,321	12,27	0,938
2014-08-01	23,065	11,078	11,37	11,987	-0,291
2014-09-01	20,34	12,717	11,42	7,623	1,297
2014-10-01	14,112	12,025	11,472	2,088	0,553
2014-11-01	8,948	12,805	11,525	-3,857	1,281
2014-12-01	-2,382	9,253	11,58	-11,634	-2,328
2015-01-01	0,327	11,906	11,642	-11,578	0,264
2015-02-01	1,574	11,29	11,709	-9,716	-0,419
2015-03-01	5,535	12,228	11,779	-6,693	0,448
2015-04-01	10,651	12,574	11,852	-1,923	0,722
2015-05-01	14,727	11,65	11,928	3,077	-0,278
2015-06-01	20,482	12,045	12,007	8,437	0,038
2015-07-01	22,566	10,402	12,091	12,164	-1,689
2015-08-01	23,057	11,14	12,182	11,917	-1,042
2015-09-01	19,221	11,632	12,28	7,589	-0,649
2015-10-01	14,079	12,013	12,384	2,066	-0,371
2015-11-01	10,383	14,126	12,491	-3,743	1,634
2015-12-01	2,51	14,064	12,599	-11,555	1,465
2016-01-01	1,088	12,706	12,706	-11,58	-0
2016-02-01	3,056	12,816	12,816	-9,722	-0
2016-03-01	6,197	12,929	12,929	-6,694	-0
2016-04-01	11,085	13,046	13,046	-1,923	-0
2016-05-01	16,199	13,167	13,167	3,07	-0
2016-06-01	21,685	13,291	13,291	8,432	-0
2016-07-01	25,529	13,419	13,419	12,149	-0
2016-08-01	25,416	13,55	13,55	11,905	-0
2016-09-01	21,227	13,685	13,685	7,581	-0
2016-10-01	15,845	13,823	13,823	2,061	-0
2016-11-01	10,192	13,965	13,965	-3,733	-0
2016-12-01	2,52	14,111	14,111	-11,546	-0
