	Series	Seasonally adjusted	Trend	Seasonal	Irregular
2011-12-01	7,039	17,424	16,954	-10,384	0,469
2012-01-01	4,755	16,747	16,971	-11,992	-0,224
2012-02-01	4,544	16,051	16,99	-11,506	-0,939
2012-03-01	9,879	16,476	17,014	-6,597	-0,538
2012-04-01	17,613	17,903	17,041	-0,29	0,862
2012-05-01	21,055	16,934	17,065	4,121	-0,131
2012-06-01	24,612	17,373	17,088	7,239	0,285
2012-07-01	30,118	17,726	17,108	12,392	0,618
2012-08-01	29,23	17,452	17,124	11,777	0,328
2012-09-01	23,833	17,028	17,138	6,805	-0,11
2012-10-01	20,111	17,497	17,151	2,613	0,347
2012-11-01	12,365	16,628	17,163	-4,263	-0,535
2012-12-01	6,193	16,918	17,178	-10,725	-0,26
2013-01-01	4,854	16,625	17,196	-11,772	-0,571
2013-02-01	7,293	18,131	17,216	-10,839	0,916
2013-03-01	11,342	17,533	17,232	-6,191	0,302
2013-04-01	15,661	16,556	17,246	-0,895	-0,69
2013-05-01	21,715	17,489	17,262	4,226	0,227
2013-06-01	24,386	17,349	17,279	7,037	0,071
2013-07-01	32,193	20,248	17,294	11,945	2,953
2013-08-01	31,681	20,185	17,309	11,496	2,875
2013-09-01	25,58	18,646	17,321	6,934	1,324
2013-10-01	19,957	17,517	17,335	2,439	0,183
2013-11-01	14,185	17,994	17,352	-3,81	0,642
2013-12-01	6,644	17,511	17,373	-10,867	0,138
2014-01-01	7,28	18,442	17,394	-11,161	1,048
2014-02-01	6,699	17,406	17,414	-10,707	-0,008
2014-03-01	12,026	17,999	17,432	-5,974	0,567
2014-04-01	16,251	17,303	17,45	-1,052	-0,147
2014-05-01	22,063	17,91	17,468	4,153	0,443
2014-06-01	23,976	17,195	17,485	6,781	-0,291
2014-07-01	29,613	18,143	17,502	11,47	0,64
2014-08-01	26,894	16,132	17,521	10,762	-1,389
2014-09-01	24,853	17,69	17,544	7,163	0,146
2014-10-01	20,71	17,912	17,569	2,798	0,343
2014-11-01	14,985	18,317	17,591	-3,331	0,726
2014-12-01	6,254	16,953	17,61	-10,699	-0,657
2015-01-01	6,72	17,742	17,631	-11,022	0,112
2015-02-01	7,437	17,938	17,652	-10,501	0,286
2015-03-01	11,457	17,519	17,672	-6,063	-0,153
2015-04-01	16,797	17,792	17,692	-0,995	0,1
2015-05-01	21,087	17,262	17,713	3,825	-0,451
2015-06-01	24,479	17,732	17,736	6,747	-0,004
2015-07-01	27,283	16,648	17,762	10,636	-1,115
2015-08-01	29,062	18,146	17,793	10,916	0,353
2015-09-01	25,254	17,981	17,824	7,273	0,157
2015-10-01	20,989	18,042	17,853	2,947	0,189
2015-11-01	14,418	17,792	17,881	-3,374	-0,089
2015-12-01	8,608	18,738	17,907	-10,13	0,831
2016-01-01	6,847	17,931	17,931	-11,045	0
2016-02-01	7,402	17,952	17,952	-10,511	0
2016-03-01	11,829	17,973	17,973	-6,106	0
2016-04-01	16,936	17,995	17,995	-1,02	0
2016-05-01	21,737	18,016	18,016	3,759	0
2016-06-01	24,713	18,037	18,037	6,714	0
2016-07-01	28,545	18,059	18,059	10,525	0
2016-08-01	28,961	18,08	18,08	10,919	0
2016-09-01	25,332	18,101	18,101	7,269	0
2016-10-01	21,035	18,123	18,123	2,951	0
2016-11-01	14,72	18,144	18,144	-3,385	0
2016-12-01	8,056	18,165	18,165	-10,071	0
