	Series	Seasonally adjusted	Trend	Seasonal	Irregular
2011-12-01	66,003	66,003	69,673	1	0,947
2012-01-01	67,03	67,03	69,673	1	0,962
2012-02-01	72,51	72,51	69,673	1	1,041
2012-03-01	69,557	69,557	69,673	1	0,998
2012-04-01	67,949	67,949	69,673	1	0,975
2012-05-01	71,222	71,222	69,673	1	1,022
2012-06-01	78,707	78,707	69,673	1	1,13
2012-07-01	73,986	73,986	69,673	1	1,062
2012-08-01	77,589	77,589	69,673	1	1,114
2012-09-01	71,792	71,792	69,673	1	1,03
2012-10-01	65,023	65,023	69,673	1	0,933
2012-11-01	67,934	67,934	69,673	1	0,975
2012-12-01	70,345	70,345	69,673	1	1,01
2013-01-01	72,493	72,493	69,673	1	1,04
2013-02-01	77,866	77,866	69,673	1	1,118
2013-03-01	66,86	66,86	69,673	1	0,96
2013-04-01	59,692	59,692	69,673	1	0,857
2013-05-01	72,576	72,576	69,673	1	1,042
2013-06-01	79,583	79,583	69,673	1	1,142
2013-07-01	61,139	61,139	69,673	1	0,878
2013-08-01	62,875	62,875	69,673	1	0,902
2013-09-01	68,15	68,15	69,673	1	0,978
2013-10-01	68,099	68,099	69,673	1	0,977
2013-11-01	58,164	58,164	69,673	1	0,835
2013-12-01	60,312	60,312	69,673	1	0,866
2014-01-01	62,914	62,914	69,673	1	0,903
2014-02-01	73,599	73,599	69,673	1	1,056
2014-03-01	62,906	62,906	69,673	1	0,903
2014-04-01	68,052	68,052	69,673	1	0,977
2014-05-01	59,793	59,793	69,673	1	0,858
2014-06-01	72,744	72,744	69,673	1	1,044
2014-07-01	75,074	75,074	69,673	1	1,078
2014-08-01	80,638	80,638	69,673	1	1,157
2014-09-01	77,082	77,082	69,673	1	1,106
2014-10-01	67,958	67,958	69,673	1	0,975
2014-11-01	69,531	69,531	69,673	1	0,998
2014-12-01	56,819	56,819	69,673	1	0,816
2015-01-01	66,736	66,736	69,673	1	0,958
2015-02-01	68,926	68,926	69,673	1	0,989
2015-03-01	70,099	70,099	69,673	1	1,006
2015-04-01	70,493	70,493	69,673	1	1,012
2015-05-01	70,252	70,252	69,673	1	1,008
2015-06-01	80,319	80,319	69,673	1	1,153
2015-07-01	76,891	76,891	69,673	1	1,104
2015-08-01	71,581	71,581	69,673	1	1,027
2015-09-01	70,971	70,971	69,673	1	1,019
2015-10-01	66,68	66,68	69,673	1	0,957
2015-11-01	78,246	78,246	69,673	1	1,123
2015-12-01	68,222	68,222	69,673	1	0,979
2016-01-01	68,335	68,335	69,673	1	0,981
2016-02-01	69,382	69,382	69,673	1	0,996
2016-03-01	69,382	69,382	69,673	1	0,996
2016-04-01	69,382	69,382	69,673	1	0,996
2016-05-01	69,382	69,382	69,673	1	0,996
2016-06-01	69,382	69,382	69,673	1	0,996
2016-07-01	69,382	69,382	69,673	1	0,996
2016-08-01	69,382	69,382	69,673	1	0,996
2016-09-01	69,382	69,382	69,673	1	0,996
2016-10-01	69,382	69,382	69,673	1	0,996
2016-11-01	69,382	69,382	69,673	1	0,996
2016-12-01	69,382	69,382	69,673	1	0,996
