	Series	Seasonally adjusted	Trend	Seasonal	Irregular
2011-12-01	1 030,261	1 019,001	1 016,491	1,011	1,002
2012-01-01	1 027,019	1 016,535	1 016,394	1,01	1
2012-02-01	1 024,545	1 016,439	1 016,265	1,008	1
2012-03-01	1 020,648	1 016,272	1 016,129	1,004	1
2012-04-01	1 012,535	1 014,511	1 016,004	0,998	0,999
2012-05-01	1 010,777	1 016,512	1 015,904	0,994	1,001
2012-06-01	1 004,51	1 015,168	1 015,815	0,99	0,999
2012-07-01	1 004,208	1 015,304	1 015,737	0,989	1
2012-08-01	1 004,682	1 014,827	1 015,686	0,99	0,999
2012-09-01	1 013,548	1 016,753	1 015,646	0,997	1,001
2012-10-01	1 018,323	1 015,506	1 015,592	1,003	1
2012-11-01	1 020,322	1 014,468	1 015,54	1,006	0,999
2012-12-01	1 025,208	1 014,118	1 015,529	1,011	0,999
2013-01-01	1 026,612	1 016,142	1 015,553	1,01	1,001
2013-02-01	1 024,141	1 016,047	1 015,575	1,008	1
2013-03-01	1 018,727	1 014,355	1 015,594	1,004	0,999
2013-04-01	1 014,193	1 016,095	1 015,63	0,998	1
2013-05-01	1 009,778	1 015,532	1 015,671	0,994	1
2013-06-01	1 005,829	1 016,47	1 015,702	0,99	1,001
2013-07-01	1 004,276	1 015,346	1 015,722	0,989	1
2013-08-01	1 005,018	1 015,119	1 015,749	0,99	0,999
2013-09-01	1 013,278	1 016,543	1 015,785	0,997	1,001
2013-10-01	1 019,009	1 016,192	1 015,808	1,003	1
2013-11-01	1 022,283	1 016,374	1 015,809	1,006	1,001
2013-12-01	1 025,214	1 014,191	1 015,811	1,011	0,998
2014-01-01	1 025,536	1 015,116	1 015,85	1,01	0,999
2014-02-01	1 023,632	1 015,579	1 015,926	1,008	1
2014-03-01	1 020,396	1 015,967	1 016,018	1,004	1
2014-04-01	1 016,027	1 017,886	1 016,097	0,998	1,002
2014-05-01	1 010,725	1 016,518	1 016,132	0,994	1
2014-06-01	1 005,286	1 015,925	1 016,143	0,99	1
2014-07-01	1 006,232	1 017,29	1 016,141	0,989	1,001
2014-08-01	1 006,864	1 016,912	1 016,109	0,99	1,001
2014-09-01	1 011,202	1 014,554	1 016,063	0,997	0,999
2014-10-01	1 018,405	1 015,605	1 016,045	1,003	1
2014-11-01	1 021,936	1 016	1 016,055	1,006	1
2014-12-01	1 027,811	1 016,747	1 016,062	1,011	1,001
2015-01-01	1 026,48	1 016,058	1 016,056	1,01	1
2015-02-01	1 023,779	1 015,744	1 016,045	1,008	1
2015-03-01	1 021,667	1 017,177	1 016,029	1,004	1,001
2015-04-01	1 013,355	1 015,238	1 015,999	0,998	0,999
2015-05-01	1 009,3	1 015,127	1 015,982	0,994	0,999
2015-06-01	1 005,449	1 016,087	1 015,992	0,99	1
2015-07-01	1 004,623	1 015,672	1 016,012	0,989	1
2015-08-01	1 006,71	1 016,716	1 016,031	0,99	1,001
2015-09-01	1 012,301	1 015,685	1 016,043	0,997	1
2015-10-01	1 019	1 016,194	1 016,053	1,003	1
2015-11-01	1 022,588	1 016,62	1 016,058	1,006	1,001
2015-12-01	1 026,945	1 015,894	1 016,052	1,011	1
2016-01-01	1 026,464	1 016,042	1 016,042	1,01	1
2016-02-01	1 024,069	1 016,034	1 016,035	1,008	1
2016-03-01	1 020,518	1 016,027	1 016,027	1,004	1
2016-04-01	1 014,128	1 016,019	1 016,019	0,998	1
2016-05-01	1 010,173	1 016,011	1 016,012	0,994	1
2016-06-01	1 005,366	1 016,004	1 016,004	0,99	1
2016-07-01	1 004,939	1 015,996	1 015,996	0,989	1
2016-08-01	1 005,992	1 015,988	1 015,989	0,99	1
2016-09-01	1 012,593	1 015,981	1 015,981	0,997	1
2016-10-01	1 018,779	1 015,973	1 015,973	1,003	1
2016-11-01	1 021,933	1 015,965	1 015,966	1,006	1
2016-12-01	1 027,008	1 015,958	1 015,958	1,011	1
