	Series	Seasonally adjusted	Trend	Seasonal	Irregular
2011-12-01	0	0	0,695	0	-0,695
2012-01-01	1,081	1,081	0,695	0	0,386
2012-02-01	0,736	0,736	0,695	0	0,041
2012-03-01	1,112	1,112	0,695	0	0,417
2012-04-01	0,607	0,607	0,695	0	-0,088
2012-05-01	0,962	0,962	0,695	0	0,267
2012-06-01	1,368	1,368	0,695	0	0,673
2012-07-01	0,688	0,688	0,695	0	-0,007
2012-08-01	3,267	3,267	0,695	0	2,571
2012-09-01	0,525	0,525	0,695	0	-0,17
2012-10-01	0,099	0,099	0,695	0	-0,597
2012-11-01	1,621	1,621	0,695	0	0,925
2012-12-01	0,746	0,746	0,695	0	0,05
2013-01-01	0,234	0,234	0,695	0	-0,461
2013-02-01	0,7	0,7	0,695	0	0,005
2013-03-01	0,418	0,418	0,695	0	-0,277
2013-04-01	0,503	0,503	0,695	0	-0,193
2013-05-01	0,905	0,905	0,695	0	0,209
2013-06-01	1,449	1,449	0,695	0	0,753
2013-07-01	0,119	0,119	0,695	0	-0,577
2013-08-01	0,398	0,398	0,695	0	-0,298
2013-09-01	1,263	1,263	0,695	0	0,567
2013-10-01	6,875	6,875	0,695	0	6,18
2013-11-01	0,052	0,052	0,695	0	-0,644
2013-12-01	0,803	0,803	0,695	0	0,108
2014-01-01	0,242	0,242	0,695	0	-0,454
2014-02-01	2,593	2,593	0,695	0	1,898
2014-03-01	0,329	0,329	0,695	0	-0,367
2014-04-01	1,647	1,647	0,695	0	0,951
2014-05-01	0,329	0,329	0,695	0	-0,366
2014-06-01	2,042	2,042	0,695	0	1,347
2014-07-01	0,423	0,423	0,695	0	-0,273
2014-08-01	2,007	2,007	0,695	0	1,312
2014-09-01	0,609	0,609	0,695	0	-0,086
2014-10-01	0,384	0,384	0,695	0	-0,312
2014-11-01	0,199	0,199	0,695	0	-0,497
2014-12-01	0,017	0,017	0,695	0	-0,678
2015-01-01	0,707	0,707	0,695	0	0,012
2015-02-01	0,557	0,557	0,695	0	-0,139
2015-03-01	0,646	0,646	0,695	0	-0,049
2015-04-01	0,606	0,606	0,695	0	-0,089
2015-05-01	0,581	0,581	0,695	0	-0,114
2015-06-01	3,62	3,62	0,695	0	2,925
2015-07-01	0,751	0,751	0,695	0	0,056
2015-08-01	0,756	0,756	0,695	0	0,061
2015-09-01	0,343	0,343	0,695	0	-0,352
2015-10-01	0,446	0,446	0,695	0	-0,249
2015-11-01	0,74	0,74	0,695	0	0,045
2015-12-01	0,159	0,159	0,695	0	-0,536
2016-01-01	0,79	0,79	0,695	0	0,095
2016-02-01	0,695	0,695	0,695	0	0
2016-03-01	0,695	0,695	0,695	0	0
2016-04-01	0,695	0,695	0,695	0	0
2016-05-01	0,695	0,695	0,695	0	0
2016-06-01	0,695	0,695	0,695	0	0
2016-07-01	0,695	0,695	0,695	0	0
2016-08-01	0,695	0,695	0,695	0	0
2016-09-01	0,695	0,695	0,695	0	0
2016-10-01	0,695	0,695	0,695	0	0
2016-11-01	0,695	0,695	0,695	0	0
2016-12-01	0,695	0,695	0,695	0	0
