	Series	Seasonally adjusted	Trend	Seasonal	Irregular
2011-12-01	86,224	86,224	50,888	1	1,694
2012-01-01	79,012	79,012	50,888	1	1,553
2012-02-01	34,322	34,322	50,888	1	0,674
2012-03-01	67,307	67,307	50,888	1	1,323
2012-04-01	47,311	47,311	50,888	1	0,93
2012-05-01	38,874	38,874	50,888	1	0,764
2012-06-01	32,746	32,746	50,888	1	0,644
2012-07-01	77,916	77,916	50,888	1	1,531
2012-08-01	102,315	102,315	50,888	1	2,011
2012-09-01	42,481	42,481	50,888	1	0,835
2012-10-01	46,466	46,466	50,888	1	0,913
2012-11-01	35,126	35,126	50,888	1	0,69
2012-12-01	70,759	70,759	50,888	1	1,39
2013-01-01	37,54	37,54	50,888	1	0,738
2013-02-01	48,529	48,529	50,888	1	0,954
2013-03-01	53,562	53,562	50,888	1	1,053
2013-04-01	43,647	43,647	50,888	1	0,858
2013-05-01	86,436	86,436	50,888	1	1,699
2013-06-01	43,618	43,618	50,888	1	0,857
2013-07-01	65,215	65,215	50,888	1	1,282
2013-08-01	43,973	43,973	50,888	1	0,864
2013-09-01	43,774	43,774	50,888	1	0,86
2013-10-01	55,491	55,491	50,888	1	1,09
2013-11-01	59,897	59,897	50,888	1	1,177
2013-12-01	49,959	49,959	50,888	1	0,982
2014-01-01	33,732	33,732	50,888	1	0,663
2014-02-01	60,793	60,793	50,888	1	1,195
2014-03-01	50,707	50,707	50,888	1	0,996
2014-04-01	47,476	47,476	50,888	1	0,933
2014-05-01	33,74	33,74	50,888	1	0,663
2014-06-01	39,919	39,919	50,888	1	0,784
2014-07-01	30,852	30,852	50,888	1	0,606
2014-08-01	26,675	26,675	50,888	1	0,524
2014-09-01	72,681	72,681	50,888	1	1,428
2014-10-01	49,031	49,031	50,888	1	0,964
2014-11-01	36,82	36,82	50,888	1	0,724
2014-12-01	46,59	46,59	50,888	1	0,916
2015-01-01	58,38	58,38	50,888	1	1,147
2015-02-01	49,686	49,686	50,888	1	0,976
2015-03-01	34,01	34,01	50,888	1	0,668
2015-04-01	38,243	38,243	50,888	1	0,752
2015-05-01	37,404	37,404	50,888	1	0,735
2015-06-01	41,43	41,43	50,888	1	0,814
2015-07-01	56,581	56,581	50,888	1	1,112
2015-08-01	34,765	34,765	50,888	1	0,683
2015-09-01	57,71	57,71	50,888	1	1,134
2015-10-01	35,158	35,158	50,888	1	0,691
2015-11-01	77,518	77,518	50,888	1	1,523
2015-12-01	51,092	51,092	50,888	1	1,004
2016-01-01	48,46	48,46	50,888	1	0,952
2016-02-01	48,46	48,46	50,888	1	0,952
2016-03-01	48,46	48,46	50,888	1	0,952
2016-04-01	48,46	48,46	50,888	1	0,952
2016-05-01	48,46	48,46	50,888	1	0,952
2016-06-01	48,46	48,46	50,888	1	0,952
2016-07-01	48,46	48,46	50,888	1	0,952
2016-08-01	48,46	48,46	50,888	1	0,952
2016-09-01	48,46	48,46	50,888	1	0,952
2016-10-01	48,46	48,46	50,888	1	0,952
2016-11-01	48,46	48,46	50,888	1	0,952
2016-12-01	48,46	48,46	50,888	1	0,952
