	Series	Seasonally adjusted	Trend	Seasonal	Irregular
2011-12-01	67,539	41,524	44,605	1,627	0,931
2012-01-01	63,719	40,269	45,986	1,582	0,876
2012-02-01	53,093	45,387	47,254	1,17	0,96
2012-03-01	67,251	58,537	48,655	1,149	1,203
2012-04-01	54,07	51,036	49,908	1,059	1,023
2012-05-01	54,047	54,052	51,109	1	1,058
2012-06-01	42,884	54,21	52,276	0,791	1,037
2012-07-01	26,909	44,121	53,474	0,61	0,825
2012-08-01	16,635	28,897	54,641	0,576	0,529
2012-09-01	44,291	80,324	55,764	0,551	1,44
2012-10-01	55,492	75,543	56,786	0,735	1,33
2012-11-01	67,777	58,911	57,611	1,151	1,023
2012-12-01	64,414	39,602	58,136	1,627	0,681
2013-01-01	102,175	64,573	58,312	1,582	1,107
2013-02-01	66,264	56,646	58,111	1,17	0,975
2013-03-01	65,004	56,581	57,531	1,149	0,983
2013-04-01	61,8	58,332	56,623	1,059	1,03
2013-05-01	53,219	53,224	55,515	1	0,959
2013-06-01	44,459	56,2	54,272	0,791	1,036
2013-07-01	31,992	52,455	53,026	0,61	0,989
2013-08-01	26,845	46,634	51,894	0,576	0,899
2013-09-01	27,854	50,515	50,943	0,551	0,992
2013-10-01	36,175	49,246	50,249	0,735	0,98
2013-11-01	79,279	68,908	49,857	1,151	1,382
2013-12-01	122,768	75,479	49,794	1,627	1,516
2014-01-01	72,681	45,933	50,049	1,582	0,918
2014-02-01	52,334	44,738	50,525	1,17	0,885
2014-03-01	54,405	47,356	51,105	1,149	0,927
2014-04-01	51,668	48,768	51,703	1,059	0,943
2014-05-01	61,091	61,096	52,231	1	1,17
2014-06-01	42,061	53,169	52,664	0,791	1,01
2014-07-01	34,748	56,976	52,942	0,61	1,076
2014-08-01	30,086	52,263	52,984	0,576	0,986
2014-09-01	29,48	53,462	52,713	0,551	1,014
2014-10-01	38,6	52,548	52,129	0,735	1,008
2014-11-01	53,734	46,704	51,327	1,151	0,91
2014-12-01	74,747	45,955	50,478	1,627	0,91
2015-01-01	84,791	53,586	49,764	1,582	1,077
2015-02-01	67,379	57,599	49,312	1,17	1,168
2015-03-01	50,499	43,955	49,16	1,149	0,894
2015-04-01	52,869	49,902	49,264	1,059	1,013
2015-05-01	41,004	41,008	49,46	1	0,829
2015-06-01	36,729	46,429	49,716	0,791	0,934
2015-07-01	34,172	56,03	49,932	0,61	1,122
2015-08-01	34,06	59,167	50,136	0,576	1,18
2015-09-01	27,379	49,652	50,309	0,551	0,987
2015-10-01	36,755	50,036	50,508	0,735	0,991
2015-11-01	50,839	44,188	50,555	1,151	0,874
2015-12-01	86,821	53,378	50,285	1,627	1,062
