	Series	Seasonally adjusted	Trend	Seasonal	Irregular
2011-12-01	0	0,097	0,141	-0,097	-0,045
2012-01-01	0,097	0,178	0,142	-0,081	0,037
2012-02-01	0,139	0,136	0,142	0,003	-0,006
2012-03-01	0,174	0,191	0,142	-0,016	0,049
2012-04-01	0,153	0,13	0,142	0,023	-0,012
2012-05-01	0,165	0,176	0,142	-0,011	0,034
2012-06-01	0,221	0,047	0,142	0,174	-0,095
2012-07-01	0,2	0,195	0,142	0,005	0,053
2012-08-01	0,344	0,244	0,142	0,1	0,102
2012-09-01	0,153	0,139	0,141	0,013	-0,002
2012-10-01	0,026	0,097	0,141	-0,071	-0,043
2012-11-01	0,184	0,226	0,14	-0,042	0,087
2012-12-01	0,115	0,212	0,138	-0,097	0,073
2013-01-01	0,035	0,117	0,137	-0,081	-0,02
2013-02-01	0,122	0,119	0,135	0,003	-0,016
2013-03-01	0,099	0,116	0,133	-0,017	-0,017
2013-04-01	0,09	0,067	0,131	0,023	-0,065
2013-05-01	0,132	0,143	0,13	-0,011	0,012
2013-06-01	0,252	0,077	0,129	0,175	-0,052
2013-07-01	0,059	0,054	0,129	0,005	-0,075
2013-08-01	0,129	0,029	0,129	0,1	-0,1
2013-09-01	0,185	0,171	0,13	0,014	0,041
2013-10-01	0,336	0,407	0,131	-0,071	0,277
2013-11-01	0,019	0,061	0,132	-0,042	-0,071
2013-12-01	0,057	0,154	0,133	-0,097	0,021
2014-01-01	0,028	0,11	0,134	-0,081	-0,025
2014-02-01	0,213	0,21	0,136	0,003	0,075
2014-03-01	0,081	0,097	0,137	-0,017	-0,039
2014-04-01	0,209	0,185	0,138	0,023	0,048
2014-05-01	0,084	0,094	0,139	-0,011	-0,044
2014-06-01	0,357	0,182	0,14	0,175	0,043
2014-07-01	0,103	0,098	0,14	0,005	-0,042
2014-08-01	0,333	0,233	0,141	0,1	0,092
2014-09-01	0,164	0,15	0,142	0,013	0,009
2014-10-01	0,062	0,133	0,142	-0,071	-0,009
2014-11-01	0,064	0,106	0,142	-0,042	-0,036
2014-12-01	0,006	0,103	0,143	-0,097	-0,04
2015-01-01	0,07	0,151	0,144	-0,081	0,007
2015-02-01	0,094	0,091	0,145	0,003	-0,053
2015-03-01	0,137	0,154	0,146	-0,017	0,008
2015-04-01	0,199	0,176	0,147	0,023	0,029
2015-05-01	0,135	0,146	0,148	-0,011	-0,002
2015-06-01	0,429	0,254	0,149	0,175	0,105
2015-07-01	0,218	0,213	0,149	0,005	0,063
2015-08-01	0,154	0,055	0,149	0,099	-0,094
2015-09-01	0,115	0,102	0,149	0,013	-0,048
2015-10-01	0,131	0,202	0,15	-0,071	0,052
2015-11-01	0,129	0,171	0,15	-0,042	0,021
2015-12-01	0,044	0,141	0,15	-0,097	-0,01
2016-01-01	0,069	0,151	0,151	-0,081	0
2016-02-01	0,154	0,151	0,151	0,003	0
2016-03-01	0,134	0,151	0,151	-0,017	0
2016-04-01	0,174	0,151	0,151	0,023	0
2016-05-01	0,14	0,151	0,151	-0,011	0
2016-06-01	0,326	0,152	0,152	0,175	0
2016-07-01	0,157	0,152	0,152	0,005	0
2016-08-01	0,252	0,152	0,152	0,099	0
2016-09-01	0,166	0,152	0,152	0,013	0
2016-10-01	0,081	0,152	0,152	-0,071	0
2016-11-01	0,11	0,153	0,153	-0,042	0
2016-12-01	0,056	0,153	0,153	-0,097	0
